"","Fecha","A.Medir","Delta"
"1",2019-09-04,1,-0.0766666666666666
"2",2019-09-11,5.5,0.0549999999999999
"3",2019-09-25,1,-0.166666666666667
"4",2019-09-25,1.5,-0.0566666666666666
"5",2019-09-25,2,0.166666666666667
"6",2019-09-25,3,0.09
"7",2019-09-25,3.5,0.606666666666667
"8",2019-10-02,6,0.2
"9",2019-10-02,7,-0.205
"10",2019-10-02,8,-0.425
"11",2019-10-02,8.5,-0.7
"12",2019-10-02,9,-0.16
"13",2019-10-09,2.66,0.48
"14",2019-10-09,4,0.136666666666667
"15",2019-10-09,7,-0.0433333333333336
"16",2019-10-09,8,-0.0466666666666666
"17",2019-10-16,6,0.04
"18",2019-10-16,7,-0.16
"19",2019-10-16,8,-0.0733333333333333
"20",2019-10-16,8.5,-0.153333333333333
"21",2019-10-16,9,0.220000000000001
"22",2019-10-18,1.5,0.23
"23",2019-10-23,2.66,0.16
"24",2019-10-23,4,-0.0899999999999999
"25",2019-10-23,5.5,-0.0350000000000001
"26",2019-10-23,6,0.0933333333333331
"27",2019-10-23,7,-0.0400000000000003
"28",2019-10-23,8,-0.11
"29",2019-10-23,8.5,0.155
"30",2019-10-23,9,0.69
"31",2019-10-30,1,0.13
"32",2019-10-30,2,0.163333333333333
"33",2019-10-30,3,-0.186666666666667
"34",2019-10-30,3.5,-0.655
"35",2019-10-30,4,-0.328333333333333
